"balance";"duration";"age";"job";"marital";"education";"poutcome";"total_loan";"campaign";"pdays";"previous";"y"
-0.4668663331270386;-0.7975816220067657;0.0;0.0;0.0;0.0;0.0;0.0;1;-1;0;"no"
-0.39489969369061984;-0.5983038334065495;0.0;1.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.3270184966676222;-0.3515789522824722;0.0;1.0;1.0;1.0;0.0;0.0;1;-1;0;"no"
-0.4668663331270386;0.16401278647681738;1.0;0.0;2.0;1.0;0.0;1.0;1;-1;0;"no"
-0.3826433664503564;-0.33576325477451857;1.0;2.0;2.0;0.0;0.0;1.0;1;-1;0;"no"
-0.24028141158268085;-0.20923767471088922;0.0;3.0;0.0;0.0;0.0;0.0;1;-1;0;"no"
-0.4674948627291034;-0.46545197433973867;1.0;4.0;0.0;2.0;0.0;0.0;1;-1;0;"no"
-0.5448040037830729;-0.23137965122202434;1.0;1.0;1.0;0.0;0.0;1.0;2;-1;0;"no"
-0.34870276793885757;-0.3104581387617927;1.0;1.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4674948627291034;-0.3231106967681556;2.0;3.0;0.0;0.0;0.0;1.0;1;-1;0;"no"
-0.4674948627291034;-0.3231106967681556;2.0;3.0;0.0;0.0;0.0;1.0;1;-1;0;"no"
2.8747112962504318;0.0248346484068251;1.0;1.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4696947163363302;0.11656569395295638;0.0;3.0;0.0;0.0;0.0;1.0;1;-1;0;"no"
-0.43732544182999333;0.9105137088522306;2.0;4.0;0.0;3.0;0.0;1.0;1;-1;0;"no"
-0.5818872503048956;0.08493429893704904;2.0;5.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.5818872503048956;0.08493429893704904;2.0;5.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4674948627291034;-0.4717782533429201;0.0;1.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4674948627291034;-0.4717782533429201;0.0;1.0;0.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4998641372354402;-0.5793249963970051;0.0;6.0;1.0;0.0;0.0;0.0;1;-1;0;"no"
-0.33424658709136734;-0.7090137159622252;1.0;1.0;1.0;1.0;0.0;1.0;1;-1;0;"no"
-0.3713298336131901;-0.9968594106069819;1.0;3.0;0.0;3.0;0.0;1.0;1;-1;0;"no"
-0.3713298336131901;-0.9968594106069819;1.0;3.0;0.0;3.0;0.0;1.0;1;-1;0;"no"
